transaction_id,store_id,store_name,date,product_id,product_name,quantity,unit_price,total,customer_id,promo_code
1001,1,Downtown,2025-10-01,501,Notebook,2,3.5,7,2001,
1002,1,Downtown,2025-10-01,502,Pen,5,0.8,4,2002,DISC10
1003,2,Suburb,2025-10-02,501,Notebook,1,3.5,3.5,2003,
1004,2,Suburb,2025-10-02,503,Stapler,1,5.25,5.25,,
1005,1,Downtown,2025-10-03,504,Folder,3,1.2,3.6,2004,DISC10
1006,3,Airport,2025-10-03,502,Pen,10,0.8,8,2005,
1007,3,Airport,2025-10-04,505,Marker,2,1.75,3.5,2006,
1008,1,Downtown,2025-10-04,502,Pen,2,0.8,1.6,2002,
1009,2,Suburb,2025-10-05,506,Highlighter,4,0.9,3.6,2007,
1010,2,Suburb,2025-10-05,501,Notebook,1,3.5,3.5,2008,DISC5
